arm,extractor_mode,auc,ci_lo,ci_hi
full,combined,0.6354,0.6084,0.6650
uniform,combined,0.5000,0.5000,0.5000
always_hedged,combined,0.5000,0.5000,0.5000
threshold_only,combined,0.5974,0.5716,0.6229
full,signal,0.6351,0.6076,0.6620
uniform,signal,0.5000,0.5000,0.5000
always_hedged,signal,0.5000,0.5000,0.5000
threshold_only,signal,0.5784,0.5561,0.6005
full,consistency,0.5760,0.5486,0.6027
uniform,consistency,0.5000,0.5000,0.5000
always_hedged,consistency,0.5000,0.5000,0.5000
threshold_only,consistency,0.5552,0.5338,0.5782
