arm,extractor_mode,ece,ci_lo,ci_hi
full,combined,0.1606,0.1369,0.1834
uniform,combined,0.2375,0.2149,0.2582
always_hedged,combined,0.3680,0.3471,0.3897
threshold_only,combined,0.1764,0.1558,0.1974
full,signal,0.1511,0.1304,0.1730
uniform,signal,0.2422,0.2200,0.2628
always_hedged,signal,0.3603,0.3392,0.3831
threshold_only,signal,0.1910,0.1729,0.2080
full,consistency,0.1985,0.1772,0.2201
uniform,consistency,0.2437,0.2211,0.2640
always_hedged,consistency,0.3593,0.3385,0.3812
threshold_only,consistency,0.1609,0.1420,0.1812
