arm,extractor_mode,category,empirical_acc,nominal,n
full,combined,HEDGE_LOW,0.4495,0.3,485
full,combined,HEDGE_HIGH,0.7759,0.6,415
full,combined,ASSERT,0.7409,0.9,687
uniform,combined,ASSERT,0.6625,0.9,1766
always_hedged,combined,HEDGE_LOW,0.6680,0.3,1765
threshold_only,combined,HEDGE_LOW,0.7346,0.3,211
threshold_only,combined,HEDGE_HIGH,0.4600,0.6,513
threshold_only,combined,ASSERT,0.7579,0.9,1045
full,signal,HEDGE_LOW,0.3976,0.3,425
full,signal,HEDGE_HIGH,0.7607,0.6,422
full,signal,ASSERT,0.7241,0.9,754
uniform,signal,ASSERT,0.6578,0.9,1768
always_hedged,signal,HEDGE_LOW,0.6603,0.3,1769
threshold_only,signal,HEDGE_LOW,0.7543,0.3,175
threshold_only,signal,HEDGE_HIGH,0.4581,0.6,430
threshold_only,signal,ASSERT,0.7303,0.9,1168
full,consistency,HEDGE_LOW,0.5443,0.3,531
full,consistency,HEDGE_HIGH,0.7517,0.6,431
full,consistency,ASSERT,0.7073,0.9,731
uniform,consistency,ASSERT,0.6563,0.9,1772
always_hedged,consistency,HEDGE_LOW,0.6593,0.3,1764
threshold_only,consistency,HEDGE_LOW,0.6321,0.3,106
threshold_only,consistency,HEDGE_HIGH,0.5732,0.6,485
threshold_only,consistency,ASSERT,0.6992,0.9,1177
