arm,extractor_mode,ece,ci_lo,ci_hi
full,combined,0.2694,0.2544,0.2854
uniform,combined,0.0063,0.0003,0.0200
always_hedged,combined,0.6019,0.5890,0.6158
threshold_only,combined,0.1251,0.1100,0.1405
full,logit,0.2536,0.2367,0.2700
uniform,logit,0.0350,0.0179,0.0516
always_hedged,logit,0.5720,0.5559,0.5890
threshold_only,logit,0.0296,0.0152,0.0467
full,consistency,0.2570,0.2421,0.2724
uniform,consistency,0.0025,0.0003,0.0164
always_hedged,consistency,0.6069,0.5943,0.6207
threshold_only,consistency,0.1161,0.1023,0.1308
